,,,,,Ingredient Preferences,,,,Allergens,,,,,,,,Skin type,,,,Suitable for sensitive skin,,,,,,Suitable (for acne-prone),,,,,,,Skin concern,,,,,,,,,,,,,,,,,,,,,,,,,,,Benefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age range,,,,,
Ingredient name,PubChem CID,INCI name,INCI number,CAS Number,Vegetarian,Vegan,Gluten-free,Paleo,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Suitable for mature skin,Acne,Rosacea,Cystic Acne,Hyperpigmentation,Melasma,Xerosis,Dryness,Redness,Oiliness,Signs of Aging,Dark Spots,Sensitive skin,Dullness,Uneven skin tone,Wrinkles,Fine lines,Loss of Elasticity/firmness,Damaged skin,Visible pores,"Clogged pores, blackheads",Uneven texture,Eczema,Psoriasis,Dermatitis,Sunburned skin,Dark circles,Blemishes,Moisturizing,Nourishing,Hydrating,Exfoliating,Calming,Soothing,UV-barrier,Healing,Smoothing,Reduces acne,Reduces blemishes,Reduces wrinkles,Improves symptoms of eczema,Improves symptoms of psoriasis,Improves symptoms of dermatitis,Brightening,Improves skin tone,Reduces inflammation,Minimizes pores,Anti-aging,Firming,Detoxifying,Balancing,Reduces redness,Clarifying,Anti-bacterial,Stimulates collagen production,Reduces fine lines,Antioxidant Protection,Skin Barrier Protection,Teen,20s,30s,40s,50s,60+
Sodium Benzoate,5182,Sodium Benzoate,208-534-8,532-32-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,0,4,3,2,1,0,0,1,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sorbic Acid,6434606,Sorbic Acid,203-768-7,110-44-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,0,4,3,2,1,0,0,1,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Water/Eau (Aqua),962,Aqua (Water),231-791-2,7732-18-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
3-O-Ethyl Ascorbic Acid,11954215,Ethyl Ascorbic Acid,-,86404-04-08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,-,Acrylates/C10-30 Alkyl Acrylate,-,-,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No
Aloe Barbadensis Leaf Juice Powder,,Crosspolymer,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Betaine,9655705,Aloe Barbadensis Leaf Juice Powder,232-558-4,85507-69-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Brassica Oleracea Acephala Leaf Extract,247,Betaine,202-389-2,107-43-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Camellia Sinensis Leaf Extract (Green tea),-,Brassica Oleracea Acephala Leaf,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Chamomilla Recutita Flower Extract/Matricaria Flower Extract,,Extract,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Copper Pca,6507272,Camellia Sinensis Leaf Extract,283-519-7,84650-60-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Glycine Soja Oil/Soybean Oil,,(Green tea),,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Hydrogenated Lecithin,5281520,Matricaria Flower Extract,282-006-5,84082-60-0,Yes,Yes/No,Yes,No,Yes,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Medicago Sativa Extract/Alfalfa Extract,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Menthoxypropanediol,86926,Copper Pca,-,14026-44-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes,Yes,Yes,Yes,No,No
Panthenol,4670,Panthenol,183222,"81-13-0, 16485-10-2",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,11003,Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate,379221,6683-19-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,Yes
Pentaerythrityl Tetraethylhexanoate,19181836,Pentaerythrityl Tetraethylhexanoate,250221,29894-35-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,4,3,2,1,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Sarcosine,777,Sarcosine,84857,107-97-1,Yes/No,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Spinacia Oleracea/Spinach Leaf Extract,-,Spinacia Oleracea Leaf Extract,131146,90131-97-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Tetrasodium Glutamate Diacetate,56842122,Tetrasodium Glutamate Diacetate,429226,51981-21-6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No
Raspberry Seed Oil,5281486,Rubus Idaeus (Raspberry) Seed Oil,125257,84929-76-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Neroli Orange Essential Oil,22311,Citrus Aurantium Amara (Bitter Orange) Flower Oil,100221,8016-38-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1,0,3,1,4,3,2,1,0,0,3,2,1,1,0,0,Yes,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Aloe Vera,27952,Aloe Barbadensis Leaf Extract,148223,85507-69-3,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,5,4,3,5,5,4,4,3,2,Yes,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Organic Unrefined Raw Mango Butter,-,Mangifera Indica (Mango) Seed Butter,191546,90063-86-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Organic Cold Pressed Unrefined Grapeseed Oil,9963296,Vitis Vinifera (Grape) Seed Oil,353264,8024-22-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,No
Roman Chamomile Essential Oil,5909,Anthemis Nobilis Flower Oil,152291,84649-86-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,0,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Aloe Vera Gel,27952,Aloe Barbadensis Leaf Juice,148223,94349-62-9,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,5,4,3,5,5,4,4,3,2,Yes,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Vitamin E Oil,14985,Tocopherol,227777,10191-41-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Chamomile Essential Oil,6226,Chamomilla Recutita (Matricaria) Flower Oil,148240,8002-66-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,0,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Organic Raw Cocoa Butter,114774,Theobroma Cacao (Cocoa) Seed Butter,185213,8002-31-1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Organic Raw Coconut Oil,5281,Cocos Nucifera (Coconut) Oil,144221,8001-31-8,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,5,5,5,4,3,2,3,2,1,1,0,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Organic Sweet Almond Oil,8202,Prunus Amygdalus Dulcis (Sweet Almond) Oil,149205,8007-69-0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Sacred Frankincense Essential Oil,15755,Boswellia Sacra Resin Oil,194025,8016-36-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,3,0,1,4,3,2,1,0,0,5,4,3,3,2,1,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Yes,Yes,Yes
Lavender Oil,6549,Lavandula Angustifolia (Lavender) Oil,146221,8000-28-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,0,3,4,3,2,1,0,0,5,5,4,4,3,2,Yes,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Centella,93447,Centella Asiatica Extract,149230,84696-21-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Yes,Yes,Yes
Green Tea Extract,65064,Camellia Sinensis Leaf Extract,148224,84650-60-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Vitamin E,14985,Tocopherol,227777,10191-41-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Hyaluronic Acid,57369988,Sodium Hyaluronate,173226,9067-32-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,5,4,3,2,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Organic Unrefined Shea Butter,5284617,Butyrospermum Parkii (Shea) Butter,129228,194043-92-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Organic Grape Seed Oil,9963296,Vitis Vinifera (Grape) Seed Oil,353264,8024-22-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,No,Yes,Yes,Yes,Yes,No
Organic Rosehip Seed Oil,5280343,Rosa Canina Fruit Oil,134276,84696-47-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Organic Beeswax,11006961,Beeswax,130218,8012-89-3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Grape seed oil,9963296,Vitis Vinifera (Grape) Seed Oil,353264,8024-22-4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,No,Yes,Yes,Yes,Yes,No
Rosehip Seed Oil,5280343,Rosa Canina Fruit Oil,134276,84696-47-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Raw Virgin Shea Butter,5284617,Butyrospermum Parkii (Shea) Butter,129228,194043-92-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Yellow Beeswax,11006961,Beeswax,130218,8012-89-3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,4,3,2,1,0,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Tocopherol Natural Vitamin E Oil,14985,Tocopherol,227777,10191-41-0,Yes,Yes/No,Yes,Yes,Yes,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,3,5,5,4,3,2,1,5,5,4,4,3,2,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Organic Cold Pressed Rosehip Seed Oil,5280343,Rosa Canina Fruit Oil,134276,84696-47-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Organic Evening Primrose Oil,5280809,Oenothera Biennis (Evening Primrose) Oil,193228,90028-66-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,0,1,5,5,5,4,3,2,4,3,2,2,1,0,Yes,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
